STUDENT_ID,GENDER,GRADE_LEVEL,PARENT_EDUCATION_LEVEL,FAMILY_INCOME,AVERAGE_SCORE,PASS_FAIL_RATE,ATTENDANCE_PERCENT,ACTIVITY_FLAG,ACTIVITY_HOURS,HIGHEST_ACHIEVEMENT,DISCIPLINE_COUNT,DISCIPLINE_SEVERITY,PRIMARY_INCIDENT_TYPE,AVG_TEACHER_RATING,AVG_TEACHER_EXPERIENCE
S1049,Male,4,High School,476156,43.13,1,86.64,1,9.67,School,3,3,Bullying,4.55,9.00
S1050,Female,4,Master,996279,51.49,1,84.67,1,9.33,State,3,3,Bullying,4.35,14.25
S1051,Male,7,None,459386,44.19,1,84.45,1,5.60,State,1,3,Cheating,3.70,29.00
S1052,Female,5,Master,780429,55.12,1,84.78,1,6.00,State,5,3,Other,3.15,21.50
S1053,Male,4,Bachelor,278275,43.43,1,84.99,1,8.00,State,,,,4.10,22.00
S1054,Male,12,Bachelor,109942,56.81,1,85.65,1,11.33,School,5,3,Cheating,3.48,23.25
S1055,Female,9,PhD,215080,56.47,1,84.78,1,7.00,State,2,3,Late Submission,4.70,19.50
S1056,Male,3,None,673939,52.42,1,85.65,1,3.33,School,3,1,Cheating,,
S1057,Male,7,None,983533,48.75,1,85.98,1,9.00,State,1,1,Misconduct,3.43,18.00
S1058,Male,10,None,489589,47.71,1,84.34,1,13.00,School,7,3,Misconduct,4.15,25.00
S1059,Female,4,Bachelor,300280,54.53,1,83.79,1,11.57,None,3,3,Bullying,,
S1060,Female,3,Bachelor,529434,55.05,1,86.75,,,,4,3,Bullying,4.90,29.00
S1061,Male,1,Master,701332,56.05,1,85.98,1,8.00,State,10,3,Misconduct,3.18,21.75
S1062,Male,9,High School,580458,43.82,1,84.67,1,8.33,School,1,2,Late Submission,2.85,25.00
S1063,Male,6,None,971981,48.50,1,84.45,1,9.20,School,5,3,Late Submission,3.50,12.00
S1064,Female,5,High School,509469,45.59,1,84.78,1,5.67,State,2,3,Bullying,3.17,17.67
S1065,Male,11,PhD,363921,53.93,1,85.54,1,5.00,State,,,,,
S1066,Male,5,None,982931,52.73,1,85.21,1,7.75,State,6,3,Misconduct,,
S1067,Male,5,Bachelor,684210,44.45,1,85.21,1,9.25,School,4,3,Late Submission,,
S1068,Female,4,Bachelor,579959,51.14,1,84.01,1,9.63,State,4,3,Misconduct,2.60,3.00
S1069,Female,1,None,715095,41.34,1,86.53,1,5.33,State,6,3,Bullying,,
S1070,Female,1,None,399759,53.07,1,85.21,1,8.43,State,1,3,Misconduct,4.17,18.67
S1071,Female,3,Master,628478,43.37,1,85.76,1,7.33,State,2,3,Cheating,3.85,21.00
S1072,Male,2,None,976004,55.39,1,84.67,1,5.88,School,4,3,Other,3.60,16.67
S1073,Male,6,PhD,629364,51.03,1,85.54,1,11.00,District,2,3,Bullying,4.00,22.00
S1074,Female,3,None,373232,52.94,1,84.88,1,4.67,State,4,2,Bullying,4.07,17.00
S1075,Male,6,High School,765198,48.88,1,86.42,1,10.67,School,1,1,Cheating,,
S1076,Male,6,PhD,977082,50.00,1,84.23,1,4.00,State,3,3,Misconduct,4.50,25.67
S1077,Male,4,High School,888742,48.38,1,84.12,1,8.75,State,4,2,Misconduct,,
S1078,Female,1,High School,822343,49.00,1,84.12,1,11.00,None,3,3,Bullying,4.20,24.00
S1079,Female,11,High School,329766,56.13,1,84.88,1,9.75,State,4,3,Bullying,,
S1080,Male,7,None,950300,49.05,1,83.57,1,5.25,State,5,3,Bullying,3.50,26.50
S1081,Male,4,Master,416643,48.77,1,85.65,1,5.40,State,3,3,Misconduct,,
S1082,Male,4,None,742094,56.73,1,82.91,1,7.40,State,2,1,Late Submission,2.60,26.00
S1083,Female,6,Bachelor,956339,50.94,1,87.08,1,8.00,None,1,1,Late Submission,2.90,27.00
S1084,Female,6,PhD,469093,56.68,1,84.56,1,7.00,State,4,3,Other,4.10,5.00
S1085,Male,2,Bachelor,237241,53.51,1,83.90,1,8.20,School,4,3,Bullying,2.93,24.00
S1086,Male,2,PhD,505673,55.41,1,84.99,1,5.27,State,3,2,Cheating,3.50,10.00
S1087,Female,7,PhD,586265,53.94,1,84.34,1,10.83,School,4,3,Bullying,4.30,29.50
S1088,Female,10,High School,317095,43.05,1,84.78,1,6.25,None,4,3,Bullying,2.98,18.00
S1089,Female,1,PhD,895687,51.06,1,85.32,1,8.75,State,4,2,Late Submission,3.60,23.00
S1090,Female,7,None,746503,45.71,1,83.57,1,6.67,State,4,2,Bullying,2.75,28.25
S1091,Female,11,None,804717,51.47,1,84.67,1,9.00,State,3,2,Late Submission,4.90,18.00
S1092,Female,11,Master,392027,47.97,1,81.60,1,9.25,School,3,3,Cheating,,
S1093,Female,9,High School,251158,48.34,1,83.68,1,5.25,State,5,2,Bullying,4.10,29.00
S1094,Female,11,High School,695414,59.94,1,84.67,1,7.33,State,2,2,Cheating,3.30,19.00
S1095,Female,9,None,368635,58.05,1,84.45,1,4.86,State,2,3,Late Submission,4.20,1.00
S1096,Male,7,PhD,686130,44.48,1,84.45,1,5.40,State,2,3,Bullying,4.20,10.00
S1097,Female,8,Master,758446,50.54,1,83.90,1,8.50,State,2,2,Bullying,3.10,15.50
S1098,Female,12,High School,740855,54.93,1,85.98,,,,4,3,Bullying,2.20,29.00
S1099,Female,9,PhD,401470,52.77,1,86.64,1,11.20,State,4,3,Cheating,4.20,10.00
S1100,Male,11,Bachelor,285552,44.40,1,85.43,1,7.50,State,4,3,Late Submission,3.42,23.40
S1101,Male,1,None,306736,37.97,0,84.01,1,11.00,State,3,3,Misconduct,,
S1102,Male,8,Master,979181,50.48,1,83.68,1,14.50,State,1,2,Cheating,2.10,16.00
S1103,Female,8,Master,305836,45.24,1,85.21,1,6.60,State,3,3,Late Submission,3.70,14.00
S1104,Male,2,Master,279471,52.08,1,84.67,1,6.50,School,3,2,Bullying,3.72,16.80
S1105,Female,1,PhD,311303,47.38,1,83.35,1,10.33,School,5,3,Misconduct,3.10,11.00
S1106,Female,3,Master,750005,42.24,1,85.76,1,3.75,State,1,3,Cheating,3.60,18.00
S1107,Female,10,PhD,497470,50.69,1,84.23,1,9.50,State,4,2,Other,3.37,17.00
S1108,Male,12,Master,521932,49.79,1,85.76,1,4.20,State,2,3,Cheating,3.30,10.00
S1109,Male,11,Bachelor,853013,45.92,1,82.58,1,4.88,State,2,2,Cheating,3.50,11.25
S1110,Male,5,Master,131247,41.33,1,85.43,1,10.60,State,3,3,Cheating,3.03,7.75
S1111,Male,5,Bachelor,385239,50.57,1,86.31,1,8.50,State,8,3,Cheating,,
S1112,Male,3,High School,451641,51.43,1,84.12,1,6.00,State,2,1,Late Submission,3.40,21.50
S1113,Male,2,Master,477398,50.06,1,85.87,1,7.13,State,4,3,Late Submission,4.50,21.00
S1114,Female,7,None,266881,51.36,1,84.78,1,10.00,None,3,3,Misconduct,4.90,1.00
S1115,Female,10,None,948348,54.18,1,85.65,1,7.67,State,3,1,Bullying,3.00,26.50
S1116,Female,1,Bachelor,363118,53.33,1,85.87,1,6.75,School,2,2,Cheating,,
S1117,Female,9,PhD,888722,50.44,1,84.01,1,6.00,State,3,3,Bullying,4.15,9.50
S1118,Female,4,Bachelor,507007,54.36,1,84.01,1,10.50,None,1,3,Bullying,3.45,11.50
S1119,Male,7,Bachelor,751364,55.43,1,86.31,1,7.83,State,3,3,Bullying,3.90,20.00
S1120,Male,8,High School,702483,55.08,1,83.57,1,6.14,State,3,2,Late Submission,2.43,16.33
S1121,Female,10,PhD,745205,54.74,1,85.32,1,6.63,State,3,3,Bullying,4.80,18.00
S1122,Male,11,Master,192291,58.40,1,85.43,1,3.00,State,2,3,Late Submission,,
S1123,Male,1,Bachelor,447519,44.38,1,86.86,1,10.20,State,3,2,Cheating,,
S1124,Male,8,Bachelor,403894,47.92,1,85.21,1,9.14,State,7,3,Cheating,2.70,25.00
S1125,Female,7,Bachelor,925467,51.94,1,85.98,1,7.17,State,4,3,Bullying,3.20,16.00
S1126,Female,1,PhD,104615,55.38,1,85.87,1,12.50,National,1,2,Cheating,4.10,4.00
S1127,Male,11,None,869182,54.57,1,86.31,1,6.80,State,1,3,Bullying,2.80,16.50
S1128,Male,4,High School,929995,53.88,1,86.75,1,9.29,State,4,3,Other,3.30,15.20
S1129,Male,4,High School,546564,46.12,1,84.23,1,1.50,School,3,3,Cheating,3.35,11.00
S1130,Male,8,Bachelor,854150,48.60,1,84.34,1,8.50,State,2,3,Cheating,4.70,24.00
S1131,Male,10,PhD,834256,44.57,1,86.42,1,5.00,State,4,3,Bullying,,
S1132,Male,5,None,656794,48.69,1,85.76,1,8.25,School,2,3,Bullying,3.40,14.50
S1133,Female,10,Master,465922,51.41,1,85.10,1,11.50,State,3,3,Misconduct,4.40,17.00
S1134,Male,10,High School,156851,51.53,1,86.53,1,6.67,State,1,3,Bullying,2.20,10.00
S1135,Male,10,None,414069,49.13,1,85.87,1,4.60,State,2,2,Late Submission,3.63,7.25
S1136,Female,2,PhD,728998,52.42,1,84.67,1,10.00,State,4,2,Misconduct,4.30,22.67
S1137,Male,7,Master,160665,46.61,1,85.21,1,10.78,State,4,3,Other,4.27,24.00
S1138,Female,11,Master,791666,44.31,1,84.88,1,5.33,State,2,2,Bullying,3.50,15.00
S1139,Female,3,PhD,732054,50.49,1,82.48,1,6.83,None,8,3,Cheating,3.50,24.00
S1140,Female,8,Master,915845,51.39,1,85.10,1,7.67,None,6,3,Late Submission,2.40,17.00
S1141,Female,4,None,342477,49.83,1,89.38,1,6.40,State,4,3,Cheating,,
S1142,Male,8,PhD,689979,54.67,1,85.65,1,8.40,State,2,3,Late Submission,2.70,35.00
S1143,Female,1,Master,942288,56.41,1,84.67,1,4.50,State,5,3,Bullying,3.64,6.60
S1144,Male,8,High School,422060,50.83,1,83.13,1,8.00,District,6,3,Cheating,2.30,8.50
S1145,Female,5,PhD,785244,43.30,1,84.01,1,11.25,State,1,1,Cheating,3.70,14.00
S1146,Male,9,High School,139771,49.55,1,84.67,1,7.33,State,2,3,Bullying,3.93,14.00
S1147,Female,8,PhD,844993,48.56,1,84.67,1,8.67,School,2,1,Bullying,3.20,15.00
S1148,Female,11,Master,519945,50.40,1,84.34,1,6.67,State,3,2,Bullying,3.90,19.50
S1149,Male,5,High School,474045,49.58,1,87.08,1,5.67,State,1,2,Misconduct,3.10,25.50
S1150,Female,11,PhD,436945,52.28,1,84.01,1,5.80,State,3,3,Other,,
S1151,Female,7,PhD,396859,49.03,1,84.56,1,9.60,State,,,,3.10,25.00
S1152,Female,5,Bachelor,313615,56.00,1,83.90,1,14.33,State,4,3,Late Submission,3.80,17.33
S1153,Male,12,High School,380876,48.23,1,86.97,1,6.60,State,4,3,Misconduct,3.97,18.00
S1154,Male,4,High School,824483,56.42,1,82.58,1,6.57,School,2,3,Late Submission,,
S1155,Female,12,PhD,847135,55.15,1,84.01,1,7.13,State,3,3,Cheating,3.40,10.50
S1156,Male,4,Bachelor,288533,55.56,1,85.10,1,4.71,State,3,2,Cheating,3.30,21.25
S1157,Male,5,None,792411,51.71,1,83.90,1,12.33,School,3,3,Bullying,3.50,27.00
S1158,Female,1,None,630238,56.86,1,85.87,1,8.00,National,3,3,Other,3.55,12.00
S1159,Male,11,Master,157570,48.50,1,82.69,1,5.91,School,3,3,Bullying,3.45,20.50
S1160,Female,8,Master,511865,50.72,1,84.99,1,5.00,State,3,3,Late Submission,3.60,6.50
S1161,Male,1,Bachelor,953582,46.62,1,85.10,1,10.60,State,4,3,Late Submission,4.20,13.00
S1162,Male,2,Master,565633,61.49,1,85.76,1,7.83,State,2,3,Bullying,3.58,24.33
S1163,Male,3,High School,900544,48.13,1,84.88,1,7.33,State,2,3,Late Submission,,
S1164,Male,4,None,635181,48.23,1,85.21,1,7.57,School,3,3,Late Submission,4.30,19.50
S1165,Male,9,Master,522398,50.98,1,84.67,1,7.14,None,1,1,Cheating,2.40,13.00
S1166,Female,10,Master,370214,45.34,1,85.98,1,5.67,School,4,3,Cheating,3.90,20.00
S1167,Male,4,High School,327501,48.80,1,83.13,1,9.00,School,3,2,Bullying,2.00,9.00
S1168,Male,4,High School,628805,47.00,1,84.12,1,7.00,School,5,3,Late Submission,2.55,22.00
S1169,Male,1,Master,522387,48.76,1,84.99,1,11.17,State,3,3,Bullying,,
S1170,Female,1,High School,352099,55.18,1,83.02,1,11.17,State,2,2,Late Submission,,
S1171,Female,2,High School,327405,53.76,1,84.56,1,7.25,State,2,3,Cheating,,
S1172,Female,2,PhD,285729,58.10,1,85.76,1,4.67,State,3,1,Cheating,2.90,13.33
S1173,Female,3,None,112535,53.43,1,83.46,1,3.33,State,4,3,Bullying,,
S1174,Female,10,PhD,352630,52.89,1,84.45,1,8.00,State,1,1,Late Submission,,
S1175,Male,8,Bachelor,783723,52.45,1,85.32,1,8.75,School,1,1,Other,3.43,22.67
S1176,Female,9,PhD,567781,52.39,1,84.88,1,6.00,School,3,3,Cheating,3.40,23.60
S1177,Male,10,None,982627,61.03,1,85.54,1,7.40,None,6,3,Cheating,2.25,15.00
S1178,Female,10,Bachelor,77121,44.78,1,82.48,1,12.00,State,2,3,Late Submission,2.60,27.00
S1179,Male,11,PhD,665643,53.24,1,85.65,1,8.67,None,3,3,Bullying,4.75,19.00
S1180,Female,10,None,850177,50.28,1,83.68,1,8.00,State,,,,,
S1181,Female,9,Master,341668,45.86,1,84.01,1,3.67,State,2,2,Other,4.07,28.67
S1182,Female,11,Master,145674,49.81,1,83.79,1,3.50,State,6,3,Cheating,,
S1183,Female,7,Bachelor,386653,51.71,1,84.99,1,9.80,State,3,3,Bullying,4.25,13.50
S1184,Male,6,Master,777369,37.38,0,84.45,1,6.50,National,,,,3.55,16.50
S1185,Female,11,Master,903085,47.40,1,84.23,1,7.20,School,1,1,Late Submission,4.60,32.00
S1186,Female,2,Bachelor,314659,53.52,1,85.65,1,4.00,District,4,3,Misconduct,,
S1187,Male,7,PhD,914998,50.86,1,83.68,1,10.00,State,3,3,Bullying,3.33,13.67
S1188,Female,7,None,246694,46.18,1,85.43,1,8.00,State,4,3,Bullying,2.70,19.00
S1189,Female,11,Master,846907,49.33,1,86.86,1,9.75,State,1,2,Other,4.30,4.00
S1190,Male,5,PhD,187377,43.81,1,86.97,,,,4,3,Cheating,,
S1191,Female,12,Master,177324,49.24,1,85.21,1,7.33,None,2,3,Misconduct,4.90,6.00
S1192,Male,12,High School,375845,47.47,1,84.88,1,9.75,School,3,2,Bullying,,
S1193,Female,2,High School,932277,51.97,1,85.65,1,7.88,State,1,3,Other,2.50,2.00
S1194,Female,2,High School,572584,50.85,1,83.90,1,7.67,State,,,,3.55,22.50
S1195,Female,7,Master,545158,54.94,1,85.32,1,7.60,District,2,1,Late Submission,,
S1196,Female,9,High School,452219,55.57,1,85.32,1,8.86,None,6,3,Bullying,,
S1197,Male,2,Bachelor,860208,47.74,1,86.09,1,7.40,School,3,3,Late Submission,3.10,22.00
S1198,Female,9,Bachelor,910408,50.32,1,86.20,1,5.67,State,2,3,Bullying,,
S1199,Female,12,Bachelor,928157,46.56,1,84.88,1,7.25,State,4,3,Cheating,4.15,28.50
S1200,Male,8,PhD,557868,58.90,1,84.99,1,7.00,School,3,2,Bullying,,
S1201,Female,9,PhD,445533,45.87,1,85.65,1,7.80,State,1,2,Misconduct,4.10,2.00
S1202,Female,4,High School,649573,51.24,1,86.09,1,10.50,School,4,3,Other,,
S1203,Male,7,None,383632,46.46,1,85.65,1,8.80,None,5,3,Bullying,2.20,8.00
S1204,Female,7,High School,569389,53.24,1,85.65,1,9.00,School,2,3,Late Submission,4.30,11.00
S1205,Male,9,PhD,398121,43.27,1,86.42,1,7.00,State,3,2,Bullying,3.40,26.00
S1206,Female,2,PhD,529123,40.94,1,84.12,1,10.00,State,1,2,Late Submission,3.93,18.00
S1207,Male,7,High School,128463,60.38,1,85.87,1,8.50,State,1,2,Cheating,3.00,9.50
S1208,Female,6,PhD,776353,54.74,1,87.08,1,4.60,State,2,2,Bullying,,
S1209,Male,6,PhD,448468,54.08,1,86.64,1,10.67,State,2,3,Cheating,2.90,11.00
S1210,Female,9,None,697453,55.71,1,85.32,1,7.83,State,5,3,Bullying,3.50,15.50
S1211,Male,11,Bachelor,288536,52.50,1,83.79,1,10.20,School,2,3,Misconduct,3.10,11.50
S1212,Female,2,None,515230,46.91,1,86.75,1,9.33,School,7,2,Cheating,,
S1213,Female,1,None,390131,55.51,1,83.02,1,2.00,State,2,1,Misconduct,3.70,13.50
S1214,Female,6,Bachelor,501607,49.26,1,84.88,1,10.25,State,3,3,Bullying,3.40,16.50
S1215,Male,9,Master,643418,49.42,1,85.32,1,10.83,State,3,2,Misconduct,,
S1216,Male,3,None,689098,50.05,1,85.32,1,9.00,School,4,3,Cheating,3.10,11.00
S1217,Male,8,PhD,200069,50.35,1,85.21,1,6.50,State,5,2,Other,3.90,8.00
S1218,Female,11,Bachelor,531894,48.95,1,83.46,1,6.14,State,2,2,Misconduct,3.30,11.00
S1219,Male,8,Bachelor,760526,45.61,1,84.78,1,5.00,State,2,1,Misconduct,,
S1220,Male,8,Bachelor,666113,46.83,1,84.78,1,6.25,National,2,1,Cheating,4.80,23.00
S1221,Female,12,Bachelor,529027,43.73,1,84.34,1,9.20,National,2,3,Bullying,3.57,20.67
S1222,Male,7,Master,161834,54.08,1,84.99,1,6.50,State,7,3,Other,3.47,11.33
S1223,Female,10,Bachelor,652733,59.23,1,84.99,1,6.50,School,4,3,Bullying,4.20,16.00
S1224,Female,1,Master,337813,47.70,1,83.90,1,8.88,State,4,2,Late Submission,,
S1225,Male,10,Master,923294,53.36,1,85.21,1,8.00,State,7,3,Bullying,3.70,28.00
S1226,Male,10,Bachelor,279642,46.32,1,86.75,1,9.50,State,1,3,Bullying,4.70,18.50
S1227,Female,11,High School,708765,49.37,1,86.20,1,6.00,School,4,3,Bullying,3.80,11.50
S1228,Male,5,Master,84985,54.58,1,86.09,1,5.00,District,6,3,Late Submission,2.60,5.00
S1229,Male,2,Bachelor,392589,45.06,1,86.31,1,5.00,School,4,2,Bullying,3.70,20.50
S1230,Male,4,High School,874718,48.11,1,83.46,1,6.17,State,3,3,Cheating,3.10,17.00
S1231,Female,3,Bachelor,914749,44.06,1,84.34,1,4.75,School,3,2,Late Submission,3.40,21.67
S1232,Female,12,Bachelor,893298,42.05,1,86.31,1,7.00,School,2,3,Bullying,4.60,6.00
S1233,Female,2,High School,840785,45.08,1,83.46,1,13.00,State,1,1,Other,3.10,10.00
S1234,Female,9,Bachelor,144689,49.78,1,88.72,1,10.75,School,4,3,Other,3.55,20.00
S1235,Male,5,PhD,179592,50.03,1,84.78,1,15.00,National,4,3,Bullying,3.00,22.00
S1236,Female,11,Bachelor,662955,45.05,1,85.43,1,6.33,None,1,3,Cheating,4.90,18.00
S1237,Female,2,High School,544379,51.88,1,84.88,1,7.80,State,3,2,Cheating,3.90,7.00
S1238,Female,10,High School,729112,47.32,1,86.42,1,11.50,National,1,3,Bullying,3.90,22.00
S1239,Female,12,Bachelor,730776,55.78,1,84.23,1,11.50,State,4,3,Late Submission,,
S1240,Male,3,None,89019,49.17,1,84.12,1,7.50,State,5,3,Bullying,,
S1241,Female,2,None,296205,52.26,1,84.45,1,8.14,State,4,3,Bullying,,
S1242,Female,8,Bachelor,753055,47.24,1,85.10,1,10.00,State,2,3,Late Submission,,
S1243,Male,7,None,924190,54.83,1,86.42,1,6.50,State,2,3,Misconduct,3.10,19.80
S1244,Female,5,None,773811,43.44,1,83.90,1,7.33,State,3,2,Bullying,3.60,14.00
S1245,Male,8,Master,297582,49.35,1,86.20,1,10.00,State,2,3,Cheating,2.30,24.00
S1246,Male,11,Bachelor,620913,44.09,1,85.54,1,10.00,National,3,3,Bullying,3.03,16.67
S1247,Male,7,Bachelor,249028,54.61,1,83.68,1,8.57,School,4,3,Other,3.03,16.33
S1248,Female,2,High School,722875,53.97,1,83.46,1,3.00,State,3,3,Cheating,,
S1249,Male,6,High School,182040,55.94,1,84.99,1,7.40,School,2,3,Bullying,,
S1250,Male,9,High School,664867,57.91,1,83.13,1,8.20,None,2,3,Late Submission,3.25,6.50
S1251,Male,6,High School,876952,58.17,1,82.37,1,7.00,School,2,3,Bullying,3.43,25.00
S1252,Female,3,High School,616456,51.26,1,85.10,1,5.80,School,3,1,Bullying,3.73,21.67
S1253,Male,2,None,188205,44.28,1,84.67,1,9.17,None,4,2,Bullying,2.20,9.50
S1254,Female,4,PhD,389498,50.58,1,86.53,1,5.71,School,3,3,Bullying,2.65,19.50
S1255,Male,5,None,182915,49.63,1,85.43,1,9.33,School,4,3,Late Submission,,
S1256,Male,12,None,549380,53.68,1,83.24,1,7.00,School,4,3,Bullying,,
S1257,Female,9,PhD,164351,54.23,1,84.67,1,7.75,School,1,3,Cheating,4.10,19.00
S1258,Male,10,None,812569,45.64,1,84.56,1,8.71,State,2,3,Bullying,,
S1259,Female,11,None,113780,47.18,1,84.56,1,6.40,None,4,3,Cheating,3.80,31.00
S1260,Female,7,None,564084,50.03,1,84.56,1,5.33,State,4,3,Other,,
S1261,Male,2,Bachelor,687846,39.30,0,84.78,1,11.25,State,,,,,
S1262,Male,3,Bachelor,704644,46.71,1,84.45,1,5.60,State,3,3,Late Submission,2.00,26.00
S1263,Female,10,PhD,359222,55.91,1,85.65,1,6.00,State,3,3,Bullying,3.60,14.50
S1264,Female,2,None,944217,52.47,1,86.53,1,5.75,State,3,3,Bullying,4.25,14.00
S1265,Female,8,High School,483914,52.89,1,85.98,1,12.33,State,4,1,Bullying,3.10,27.50
S1266,Female,7,Master,815054,51.51,1,83.02,1,7.00,State,7,3,Cheating,3.00,8.00
S1267,Female,7,Bachelor,747416,44.23,1,84.34,1,4.80,State,8,3,Misconduct,2.60,26.00
S1268,Female,3,Master,120394,51.63,1,86.20,1,8.10,State,4,2,Late Submission,4.50,28.00
S1269,Male,2,Master,151255,47.32,1,86.75,1,9.75,State,6,3,Misconduct,3.75,18.00
S1270,Male,9,None,664953,46.55,1,82.91,1,9.40,State,3,1,Misconduct,3.15,11.00
S1271,Male,7,Bachelor,966043,47.30,1,83.79,1,9.80,State,3,3,Cheating,2.90,23.00
S1272,Male,5,PhD,377626,48.74,1,84.45,1,9.50,State,4,3,Bullying,,
S1273,Male,10,PhD,273072,49.39,1,85.65,1,5.50,None,2,3,Bullying,,
S1274,Female,4,None,417121,53.84,1,84.67,1,5.00,None,,,,,
S1275,Male,5,PhD,287144,53.53,1,83.57,1,9.00,State,2,3,Other,,
